id,points
183786,"[[4.0, 130.0], [141.5, 412.5]]"
183786,"[[979.0, 610.0], [1044.0, 715.0]]"
183786,"[[314.0, 2877.5], [1994.0, 3180.0]]"
183844,"[[980.0, 2110.0], [1150.0, 2350.0]]"
183845,"[[2102.2580645161293, 3125.8064516129034], [2786.1290322580644, 3722.5806451612902]]"
183846,"[[1934.1428571428569, 2225.7142857142853], [2882.7142857142853, 3528.5714285714284]]"
183846,"[[251.28571428571422, 3885.7142857142853], [2851.2857142857138, 4377.142857142857]]"
183846,"[[2.7142857142856656, 3691.428571428571], [179.85714285714278, 4574.285714285714]]"
183846,"[[2068.972972972973, 386.4864864864865], [2860.864864864865, 1578.3783783783783]]"
183846,"[[271.67567567567573, 140.54054054054055], [2806.810810810811, 475.6756756756757]]"
183846,"[[149.25, 350.0], [711.75, 3828.125]]"
183846,"[[2.375, 137.5], [133.625, 2453.125]]"
183847,"[[1794.5925925925926, 3166.6666666666665], [2716.814814814815, 3411.111111111111]]"
183855,"[[744.8571428571431, 2357.4285714285716], [973.4285714285716, 2533.6190476190477]]"
183855,"[[259.14285714285734, 3590.761904761905], [387.7142857142858, 3786.0]]"
183855,"[[1873.4285714285716, 3619.3333333333335], [2073.4285714285716, 3795.5238095238096]]"
183862,"[[295.0, 220.0], [2815.0, 550.0]]"
183862,"[[1794.0, 2007.0], [2874.0, 3427.0]]"
183862,"[[890.0, 3751.0], [1942.0, 4107.0]]"
183867,"[[1983.0, 3478.0], [3263.0, 4268.0]]"
183867,"[[2753.0, 338.0], [3058.0, 513.0]]"
183868,"[[2751.0, 2787.0], [3386.0, 3542.0]]"
183868,"[[2791.666666666667, 288.8888888888889], [2986.1111111111113, 436.11111111111114]]"
183869,"[[3001.0, 254.0], [3281.0, 499.0]]"
183869,"[[1267.5714285714284, 4210.714285714285], [3499.7142857142853, 4546.428571428571]]"
183874,"[[2608.6666666666665, 2071.7948717948716], [3275.333333333333, 2415.3846153846152]]"
183874,"[[2529.1794871794873, 2697.4358974358975], [3254.8205128205127, 3125.6410256410254]]"
183876,"[[2982.128205128205, 2894.871794871795], [3433.4102564102564, 3192.3076923076924]]"
183876,"[[3053.9230769230767, 3389.74358974359], [3397.5128205128203, 3646.153846153846]]"
